Age,Gender,Your top 3 preferred music genres,Does your current activity demand your concentration,How are you feeling right now about your level of Happiness,How are you feeling right now about your level of Energy,How do you think listening to this song could affect your level of Happiness,How do you think listening to this song could affect your level of Energy,Song,Artist,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id_Spotify,Link_Spotify,Link_YouTube
23,Male,"Latin,Rock,Vocal",some concentration,neutral,calm,I get happier,I keep the same,Calaveras y Diablitos,Fabulosos,latin,0.701,0.46,9,-6.141,1,0.0421,0.511,0.0000984,0.214,0.853,92.725,264027,4,67VY2M8IZedcXJcy8LG5EH,https://open.spotify.com/track/67VY2M8IZedcXJcy8LG5EH,https://youtu.be/OZc11vc27f8?t=19
25,Male,"Blues,Hard Rock,Rock","yes, my full concentration",very happy,calm,I keep the same,I keep the same,Yellow,Cold Play,Pop,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.00013,0.234,0.285,173.365,266773,4,3AJwUDP919kvQ9QcozQPxg,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,https://youtu.be/yKNxeF4KMsY?t=27
24,Female,"Dance,Pop",not at all,very happy,with a lot of energy,I get happier,I feel with more energy,Take me Out,Franz Ferdinand,Rock,0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,237027,4,6ooluO7DiEhI1zmK94nRCM,https://open.spotify.com/track/6ooluO7DiEhI1zmK94nRCM,https://youtu.be/GhCXAiNz9Jo?t=3
22,Female,"Dance,Pop,Reggaeton",some concentration,happy,very calm,I get happier,I feel with more energy,Gasolina,Daddy Yankee,Reggaeton,0.857,0.801,0,-6.499,1,0.0618,0.332,0.0000012,0.0789,0.753,96.009,192600,4,6jEZLz3YpnEBRpVkv35AmP,https://open.spotify.com/track/6jEZLz3YpnEBRpVkv35AmP,https://youtu.be/TbY75E8dYZc?t=11
27,Female,"Jazz,Pop,Rock","yes, my full concentration",happy,neutral,I get happier,I feel with more energy,My sweet lord,George Harrison,Blues,0.538,0.704,1,-8.904,0,0.0332,0.0794,0,0.0867,0.583,120.963,281227,4,0qdQUeKVyevrbKhAo0ibxS,https://open.spotify.com/track/0qdQUeKVyevrbKhAo0ibxS,https://youtu.be/SP9wms6oEMo?t=29
26,Female,"Blues,Dance,Reggaeton",some concentration,neutral,with some energy,I keep the same,I keep the same,Where Are You Now,Justin Bieber,Dance,0.432,0.781,4,-4.038,0,0.0567,0.041,0.00000421,0.0789,0.197,139.432,250286,4,66hayvUbTotekKU3H4ta1f,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,https://youtu.be/IZ4fndEGBpU?t=15
22,Female,"Dance,Pop,Reggaeton",some concentration,happy,with some energy,I get happier,I feel with more energy,I'm Yours,Jason Mraz,Pop,0.686,0.457,11,-8.322,1,0.0468,0.595,0,0.105,0.718,150.953,242187,4,1EzrEOXmMH3G43AXT1y7pA,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA,https://youtu.be/EkHTsc9PU2A?t=9
26,Female,"Dance,Hard Rock,Pop",some concentration,not so happy,calm,I get happier,I feel with more energy,Just the Way You Are,Bruno Mars,Pop,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,220733,4,7BqBn9nzAq8spo5e7cZ0dJ,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,https://youtu.be/LjhCEhWiKXk?t=27
19,Female,"Latin,Pop,Rock","yes, my full concentration",very happy,neutral,I keep the same,I get more relaxed,Toccata and Fugue in D minor,Bach,Instrumental-Classical,0.164,0.188,2,-19.533,0,0.0357,0.437,0.873,0.386,0.14,109.313,482067,4,61JrLdVyiMy8nPg63DlENb,https://open.spotify.com/track/61JrLdVyiMy8nPg63DlENb,https://youtu.be/ho9rZjlsyYY?t=2
38,Male,"Pop,Reggaeton,Rock","yes, my full concentration",neutral,with some energy,I keep the same,I feel with more energy,I Shot the Sheriff,Bob Marley,Reggae,0.444,0.739,6,-8.554,0,0.085,0.515,0.000444,0.817,0.808,175.898,432600,4,4ADEd6pwcJqYMqMv5HV4Yl,https://open.spotify.com/track/4ADEd6pwcJqYMqMv5HV4Yl,https://youtu.be/2XiYUYcpsT4
